AccessionID,Phylogroup
GCF_000005845,A
GCF_000007445,B2
GCF_000008865,E
GCF_000009565,A
GCF_000010245,A
GCF_000010385,B1
GCF_000010485,B2
GCF_000010745,B1
GCF_000010765,B1
GCF_000013265,B2
GCF_000013305,B2
GCF_000014845,B2
GCF_000017745,B1
GCF_000017765,A
GCF_000017985,A
GCF_000019385,A
GCF_000019425,A
GCF_000019645,F
GCF_000021125,E
GCF_000022225,E
GCF_000022345,A
GCF_000022665,A
GCF_000023365,A
GCF_000023665,A
GCF_000025165,E
GCF_000025745,B2
GCF_000026245,B1
GCF_000026265,B1
GCF_000026285,B2
GCF_000026345,F
GCF_000026545,B2
GCF_000027125,D
GCF_000091005,B1
GCF_000147855,B1
GCF_000148365,B2
GCF_000148605,B2
GCF_000167875,B1
GCF_000183345,B2
GCF_000210475,A
GCF_000212715,A
GCF_000219515,D
GCF_000227625,F
GCF_000233875,B2
GCF_000233895,B2
GCF_000245515,E
GCF_000258025,B1
GCF_000258145,B1
GCF_000262125,E
GCF_000270105,A
GCF_000284495,B2
GCF_000285655,B2
GCF_000299255,B1
GCF_000299455,B1
GCF_000299475,B1
GCF_000332755,C
GCF_000464955,B1
GCF_000468515,B1
GCF_000493755,B2
GCF_000499485,A
GCF_000520035,D
GCF_000520055,D
GCF_000597845,A
GCF_000599625,A
GCF_000599645,A
GCF_000599665,D
GCF_000599685,D
GCF_000599705,D
GCF_000662395,D
GCF_000671295,D
GCF_000714595,B2
GCF_000725305,A
GCF_000730345,E
GCF_000732965,E
GCF_000743255,B2
GCF_000750555,A
GCF_000784925,F
GCF_000800215,A
GCF_000800765,A
GCF_000801165,B1
GCF_000801185,B1
GCF_000801205,A
GCF_000803705,E
GCF_000813165,B2
GCF_000814145,A
GCF_000819645,C
GCF_000827105,D
GCF_000829985,A
GCF_000830035,A
GCF_000831565,B1
GCF_000833145,A
GCF_000833635,A
GCF_000931565,B2
GCF_000952955,A
GCF_000953515,A
GCF_000967155,B1
GCF_000968515,A
GCF_000971615,B1
GCF_000974405,A
GCF_000974465,A
GCF_000974505,A
GCF_000974535,A
GCF_000974575,A
GCF_000974825,A
GCF_000974865,A
GCF_000974885,A
GCF_000981485,A
GCF_000986765,B1
GCF_000987875,A
GCF_000988355,A
GCF_000988385,A
GCF_000988425,A
GCF_000988465,A
GCF_001007915,B1
GCF_001020945,A
GCF_001021005,A
GCF_001021595,B2
GCF_001021615,B2
GCF_001021635,G
GCF_001029125,A
GCF_001039415,A
GCF_001043215,A
GCF_001051135,C
GCF_001183645,A
GCF_001183665,A
GCF_001183685,A
GCF_001276585,A
GCF_001280325,B2
GCF_001280345,B2
GCF_001280385,B2
GCF_001280405,B2
GCF_001307215,E
GCF_001308065,A
GCF_001308125,A
GCF_001308165,A
GCF_001420935,A
GCF_001420955,G
GCF_001442495,C
GCF_001469815,B2
GCF_001485455,F
GCF_001513615,B2
GCF_001513635,B2
GCF_001515725,C
GCF_001544635,A
GCF_001558995,E
GCF_001559615,A
GCF_001559635,A
GCF_001559655,A
GCF_001559675,A
GCF_001566335,A
GCF_001566615,B2
GCF_001566635,B2
GCF_001566675,B2
GCF_001577325,B2
GCF_001593565,B2
GCF_001610755,A
GCF_001612475,E
GCF_001612495,E
GCF_001617565,B2
GCF_001618345,B2
GCF_001618365,B2
GCF_001644725,B1
GCF_001644745,E
GCF_001645235,B1
GCF_001650275,E
GCF_001650295,E
GCF_001651925,E
GCF_001651945,E
GCF_001651965,E
GCF_001660565,B1
GCF_001660585,B2
GCF_001663075,A
GCF_001663475,B2
GCF_001675145,B2
GCF_001677475,D
GCF_001677495,B1
GCF_001677515,A
GCF_001678925,A
GCF_001678965,B1
GCF_001679985,B1
GCF_001682305,A
GCF_001683435,B2
GCF_001693315,B2
GCF_001693635,B1
GCF_001695515,E
GCF_001721125,B1
GCF_001721225,A
GCF_001721525,F
GCF_001723505,A
GCF_001735705,A
GCF_001750845,A
GCF_001753445,E
GCF_001753465,E
GCF_001753485,E
GCF_001753505,E
GCF_001753525,E
GCF_001753545,E
GCF_001753565,E
GCF_001806265,E
GCF_001806285,E
GCF_001860505,A
GCF_001865295,E
GCF_001874485,B2
GCF_001886535,A
GCF_001886555,A
GCF_001886575,A
GCF_001886755,A
GCF_001886895,B1
GCF_001886935,B1
GCF_001888075,A
GCF_001890205,E
GCF_001890225,E
GCF_001890245,E
GCF_001890265,E
GCF_001890285,E
GCF_001890305,E
GCF_001890325,E
GCF_001890345,E
GCF_001890365,D
GCF_001900295,D
GCF_001900315,D
GCF_001900335,B1
GCF_001900355,B1
GCF_001900375,B1
GCF_001900395,B2
GCF_001900415,A
GCF_001900435,A
GCF_001900455,A
GCF_001900475,B1
GCF_001900495,B1
GCF_001900515,B1
GCF_001900535,B1
GCF_001900555,C
GCF_001900575,A
GCF_001900595,B1
GCF_001900615,A
GCF_001900635,C
GCF_001900655,A
GCF_001900675,B1
GCF_001900695,B1
GCF_001900715,A
GCF_001900735,G
GCF_001900775,A
GCF_001900795,A
GCF_001900815,B1
GCF_001900835,A
GCF_001900885,B1
GCF_001900905,A
GCF_001900925,B1
GCF_001900945,B1
GCF_001900965,B1
GCF_001900985,A
GCF_001901005,B1
GCF_001901025,B1
GCF_001901045,B1
GCF_001901065,B1
GCF_001901085,B1
GCF_001901105,B1
GCF_001901125,B1
GCF_001901145,B1
GCF_001901165,B1
GCF_001901185,B1
GCF_001901215,B1
GCF_001901315,A
GCF_001901365,A
GCF_001901405,B1
GCF_001901425,B1
GCF_001901445,B1
GCF_001901465,A
GCF_001932515,A
GCF_001936315,A
GCF_001971765,D
GCF_001999185,A
GCF_002007705,A
GCF_002009315,G
GCF_002011945,B1
